Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
CONFIRMED,9.49,170.54,0.15,2.96,616,2.26,793,35.8,5455,4.47,0.93,291.93,48.14,15.35
CONFIRMED,54.42,162.51,0.59,4.51,875,2.83,443,25.8,5455,4.47,0.93,291.93,48.14,15.35
FALSE POSITIVE,19.9,175.85,0.97,1.78,10800,14.6,638,76.3,5853,4.54,0.87,297,48.13,15.44
FALSE POSITIVE,1.74,170.31,1.28,2.41,8080,33.46,1395,505.6,5805,4.56,0.79,285.53,48.29,15.6
CONFIRMED,2.53,171.6,0.7,1.65,603,2.75,1406,40.9,6031,4.44,1.05,288.75,48.23,15.51
CONFIRMED,11.09,171.2,0.54,4.59,1520,3.9,835,66.5,6046,4.49,0.97,296.29,48.22,15.71
CONFIRMED,4.13,172.98,0.76,3.14,686,2.77,1160,40.2,6046,4.49,0.97,296.29,48.22,15.71
CONFIRMED,2.57,179.55,0.76,2.43,227,1.59,1360,15,6046,4.49,0.97,296.29,48.22,15.71
FALSE POSITIVE,7.36,132.25,1.17,5.02,234,39.21,1342,47.7,6227,3.99,1.96,298.86,42.15,12.66
CONFIRMED,16.07,173.62,0.05,3.53,4910,5.76,600,161.9,5031,4.49,0.85,287,48.38,15.84
CONFIRMED,2.47,122.76,0.82,1.74,14200,13.04,1339,4304.3,5820,4.46,0.96,286.81,49.32,11.34
CONFIRMED,2.2,121.36,0.22,3.89,6670,16.1,2048,5945.9,6440,4.02,1.95,292.25,47.97,10.46
CONFIRMED,3.52,121.12,0.63,3.2,9150,14.59,1521,1741.5,6225,4.17,1.45,281.29,42.45,13.56
CONFIRMED,3.71,133.98,0.05,2.63,131,1.16,1206,50.6,5833,4.41,1.02,295.65,48.5,12.77
FALSE POSITIVE,11.52,170.84,2.48,3.64,18000,150.51,753,622.1,5795,4.55,0.85,297.08,47.6,15.47
FALSE POSITIVE,19.4,172.48,0.8,12.22,8920,7.18,523,214.7,5043,4.59,0.68,289.26,47.64,15.49
FALSE POSITIVE,19.22,184.55,1.07,4.8,74300,49.29,698,2317,6117,4.5,0.95,295.81,47.69,15.34
FALSE POSITIVE,16.47,180.88,0.29,9.44,10500,7.94,595,303.4,5152,4.52,0.79,297.15,47.67,15.79
CONFIRMED,9.27,173.26,0.39,3.29,1290,2.47,649,87.2,4856,4.58,0.7,288.14,47.72,15.3
CONFIRMED,6.03,171.6,0.26,1.58,1910,2.85,678,65.4,4537,4.65,0.67,283.71,47.86,15.78
FALSE POSITIVE,2.7,170.74,0.04,3.61,398,1.58,1066,48.2,4989,4.5,0.82,283.77,47.8,15.27
CONFIRMED,5.35,171.81,0.09,3.03,831,2.55,919,60.6,5185,4.44,0.91,292.38,47.88,15.42
CONFIRMED,3.94,136.09,0.23,2.6,363,1.7,1018,28.9,5185,4.44,0.91,292.38,47.88,15.42
CONFIRMED,8.11,132.8,0.03,3.6,217,1.3,800,14.1,5185,4.44,0.91,292.38,47.88,15.42
FALSE POSITIVE,386.6,166.34,0.98,6.81,24900,41.5,297,994,5543,4.08,1.58,292.27,37.67,12.39
CONFIRMED,21.68,171.54,0.9,3.46,857,2.95,530,34.3,4954,4.5,0.83,290.47,47.93,15.38
