,Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
5452,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3306,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,1
4710,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,2
4268,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4167,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
705,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1041,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
6377,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,3
760,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5873,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,3,1,2,1,2
2225,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
398,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1595,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1025,FALSE POSITIVE,3,1,1,1,1,1,1,1,1,3,1,2,2,2
6402,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
2247,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3683,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4228,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2746,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
3336,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,1
5056,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,1,3,3
2227,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
6254,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
